uid,role,gender,pay_annual_USD
650,Other,female,"$60,000 - $79,999"
651,Designer,female,"$160,000 - $179,999"
652,Analyst,female,"$100,000 - $119,999"
653,Engineer,female,"$60,000 - $79,999"
654,Leadership,female,"$140,000 - $159,999"
655,Journalist,female,"$80,000 - $99,999"
656,Analyst,female,"$180,000 - $199,999"
657,Designer,male,"$80,000 - $99,999"
658,Developer,male,"$20,000 - $39,999"
659,Engineer,male,"$60,000 - $79,999"
660,Developer,male,"$80,000 - $99,999"
661,Analyst,female,"$60,000 - $79,999"
662,Engineer,male,"$140,000 - $159,999"
663,Developer,,"$60,000 - $79,999"
664,Analyst,female,"$100,000 - $119,999"
665,Scientist,prefer not to say,"$200,000 - $219,999"
666,Analyst,male,"$100,000 - $119,999"
667,Analyst,female,"$80,000 - $99,999"
668,Analyst,male,"$100,000 - $119,999"
669,Leadership,male,"$240,000 or more"
670,Analyst,male,"$60,000 - $79,999"
671,,female,"$60,000 - $79,999"
672,Engineer,male,"$80,000 - $99,999"
673,Engineer,male,"$200,000 - $219,999"
674,Developer,male,"$120,000 - $139,999"
675,Leadership,female,"$120,000 - $139,999"
676,Leadership,male,"$140,000 - $159,999"
677,Leadership,male,"$220,000 - $239,999"
678,Developer,female,"$80,000 - $99,999"
679,Engineer,female,"$120,000 - $139,999"
680,Analyst,female,"$100,000 - $119,999"
681,,female,"$60,000 - $79,999"
682,,self-described,"$120,000 - $139,999"
683,,female,"$240,000 or more"
684,,male,"$100,000 - $119,999"
685,,female,"$80,000 - $99,999"
686,,female,"$100,000 - $119,999"
687,,female,"$60,000 - $79,999"
688,,female,"$120,000 - $139,999"
689,,male,"$100,000 - $119,999"
690,Analyst,male,"$80,000 - $99,999"
691,Analyst,male,"$100,000 - $119,999"
692,Analyst,male,"$80,000 - $99,999"
693,Analyst,female,"$60,000 - $79,999"
694,Leadership,female,"$200,000 - $219,999"
695,Journalist,male,"$60,000 - $79,999"
696,Designer,male,"$100,000 - $119,999"
697,Designer,male,"$160,000 - $179,999"
698,Analyst,female,"$60,000 - $79,999"
699,Analyst,male,"$100,000 - $119,999"
700,Scientist,male,"$80,000 - $99,999"
701,Leadership,male,"$200,000 - $219,999"
702,Leadership,male,"$140,000 - $159,999"
703,Scientist,female,"$40,000 - $59,999"
704,Analyst,female,"$120,000 - $139,999"
705,Developer,male,"$80,000 - $99,999"
706,Developer,male,"$120,000 - $139,999"
707,Analyst,male,"$140,000 - $159,999"
708,Designer,female,"$80,000 - $99,999"
709,,male,"$140,000 - $159,999"
710,Engineer,male,"$240,000 or more"
711,,male,"$20,000 - $39,999"
712,,female,"$60,000 - $79,999"
713,,female,"$20,000 - $39,999"
714,Leadership,female,"$160,000 - $179,999"
715,,male,"$160,000 - $179,999"
716,,male,"$120,000 - $139,999"
717,,male,"$60,000 - $79,999"
718,,male,"$120,000 - $139,999"
719,,male,"$20,000 - $39,999"
720,,female,"$40,000 - $59,999"
721,,female,"$120,000 - $139,999"
722,,female,"$160,000 - $179,999"
723,,female,"$240,000 or more"
724,,female,"$60,000 - $79,999"
725,,male,"$200,000 - $219,999"
726,Engineer,female,"$120,000 - $139,999"
727,Developer,male,"$60,000 - $79,999"
728,Journalist,female,"$80,000 - $99,999"
729,Leadership,male,"$200,000 - $219,999"
730,Leadership,male,"$120,000 - $139,999"
731,Engineer,male,"$140,000 - $159,999"
732,Other,female,"$100,000 - $119,999"
733,Leadership,male,"$240,000 or more"
734,Journalist,male,"$60,000 - $79,999"
735,Designer,male,"$100,000 - $119,999"
736,Leadership,female,"$140,000 - $159,999"
737,Leadership,male,"$160,000 - $179,999"
738,Developer,male,"$120,000 - $139,999"
739,,female,"$40,000 - $59,999"
740,,male,"$140,000 - $159,999"
741,Designer,female,"$60,000 - $79,999"
742,,male,"$10,000 - $19,999"
743,,male,"$20,000 - $39,999"
744,,female,"$40,000 - $59,999"
745,,male,"$80,000 - $99,999"
746,,female,"$160,000 - $179,999"
747,,male,"$120,000 - $139,999"
748,,male,"$120,000 - $139,999"
749,,female,"$100,000 - $119,999"
750,,male,"$160,000 - $179,999"
751,Analyst,male,"$100,000 - $119,999"
752,Developer,female,"$80,000 - $99,999"
753,Journalist,male,"$120,000 - $139,999"
754,Analyst,male,"$140,000 - $159,999"
755,Analyst,male,"$120,000 - $139,999"
756,,male,"$220,000 - $239,999"
757,,female,"$240,000 or more"
758,,male,"$100,000 - $119,999"
759,,male,"$120,000 - $139,999"
760,,male,"$60,000 - $79,999"
761,Designer,female,"$80,000 - $99,999"
762,Analyst,,"$40,000 - $59,999"
763,Analyst,male,"$60,000 - $79,999"
764,,female,"$80,000 - $99,999"
765,,female,"$60,000 - $79,999"
766,,female,"$40,000 - $59,999"
767,,male,"$200,000 - $219,999"
768,Journalist,prefer not to say,"$100,000 - $119,999"
769,Scientist,male,"$240,000 or more"
770,,female,"$10,000 - $19,999"
771,,female,"$80,000 - $99,999"
772,,male,"$100,000 - $119,999"
773,,male,"$100,000 - $119,999"
774,,male,"$160,000 - $179,999"
775,Other,male,"$20,000 - $39,999"
776,,male,"$10,000 - $19,999"
777,,male,"$100,000 - $119,999"
778,,female,"$140,000 - $159,999"
779,,female,"$240,000 or more"
780,Analyst,,"$100,000 - $119,999"
781,Other,female,"$60,000 - $79,999"
782,,male,"$200,000 - $219,999"
783,,female,"$140,000 - $159,999"
784,Other,,"$60,000 - $79,999"
785,,female,"$100,000 - $119,999"
786,,male,"$120,000 - $139,999"
787,Developer,female,"$160,000 - $179,999"
788,Other,male,"$100,000 - $119,999"
